,comment,Org Name,predicted_sentiment
10136,"As a long term patient,at Southmead Hosp, speaking from my own personal experience I would no longer recommend this hospital for treatment as I have found that the standard of the overall heath care provided has declined noticeably in the past ten years due to internal hospital cut backs.

In my experience the hospital is poorly managed and consultants are regularly changed  without any prior discussion with the patient as to what they, the individual feels is the most suitable for their ongoing healthcare, and this appears to be mostly determined now by the various dept managers who make the decisions, and who on several occasions have proven to be very uncooperative when requiring answers to patient concerns..

I do not feel as if I am an individual, but yet another number on another file.- more of an inconvenience.

Waiting times for various apps and clinics are often lengthly and Norovirus outbreaks are a very regular occurrence at Southmead and this is something which must be considered when choosing this hospital particularly if one is elderly or immuno compromised.

Patient transport for those outside of the PCT catchment area has now also been discontinued.",Southmead Hospital,negative
3431,"The friendliness of all the staff I met including day ward, theatres and ward 6. All were polite and respectul. Should I ever require surgery in the future I would pick Grantham.",Grantham and District Hospital,positive
7454,i went to a&e on a sunday morning and within half an hour saw a nurse then had a blood test and xray all within 2 hours. within 30 minutes i saw a doctor who was lovely they diagnosed an acute chest infection but had also found a problem with my heart and was arranging a scan of my heart.The doctor was really great and explained everything and answered all of my questions. But alas three weeks later i have not heard from the hospital about my follow up appointment and have had to ask my doctor to chase it up.This is not the first time this has happened.It seems a great shame i was treated so well in the a&e but the follow up from that department is non existant,Queen Elizabeth Hospital Woolwich,positive
13626,i have had 3 of my children at wythenshawe and had nothing but the best care as i was in and out with my 3rd child i decided to have my last child at home. i was supported fully my midwife was great what a star she was had a great birth and she stayed with me afterwards for a long while thank you for everything,Wythenshawe Hospital,positive
5629,"Excellent treatment, excellent work. Very humane for the patiente and for the family. Very relaxing environment.The staff as a whole were incredible and especially the nurses who were very attentive at all times.",Moorgreen Hospital,positive
9699,"The waiting times for Antenatal Clinic are horrendous, i waited for my 9:30 appt for 3 hours. Although the midwife who i saw was kind and curteous and apologised, The consultant was very much different. I am severly needle phobic and had a massive panic attack when the midwife tried to do my bloods, they wandered out and the consultant came in. They were unfreindly, unsympathetic and very unprofessional. I felt guilty enough about not being able to have my bloods taken, when they came in there was no greeting but spent the next 5 minutes belittling me, giving me no support on the matter, made no attempt to make me feel calmer about the situation. They made me feel horrendous telling me all the stuff that could possibly be wrong or they couldnt spot, saying about needing my blood type incase things went horribly wrong or if i came in and needed an emergancy c-section and they wouldn't be able to do it. 

They never asked me how my pregnancy had been going, how i was managing with my previous back problems (still no word from the pain clinic 7 months into my pregnancy), how i felt in myself ect. I understand many ladies are pregnant and there is not always time to sit have a cuppa and chat but the basics on my pregnancy would be nice. 

After their rant at me, and i was back in floods of tears, they almost threw my notes at me, practically threw a box of, what i found out were, iron tablets they never explained anything about them to me and never told me what they were. 

I actually dread going to hospital antenatal because of this treatment and feel panicky about giving birth at hope hospital if this is how i am treated in a clinic by a medical professional.",Salford Royal NHS Foundation Trust,negative
6313,"my mother, who was a patient on Huntsman 7, received excellent professional care with real human compassion",Northern General Hospital,positive
12442,"Triage, and treatment. Waiting times, waiting area.",University Hospital Of North Staffordshire,negative
9089,"I waited for a very short time, was given tests and had everything explained.  Very thorough and courteous treatment.  The staff were great, and the doctor was very clear, took time to explain everything and I feel much more confident now in coping with my condition.","Royal National Throat, Nose and Ear Hospital",positive
6057,"i had a heart attack at 9.00am taking my kids to school (6&12) , being treated in A&E, my kids were looked after by the staff and reasured constantly, i was taken to ccu where the care i recieved was excellent, after treatment at rochdale and stents inserted i went home 6 days after being admitted,cant praise everybody enough for the care and consideration i experienced.",North Manchester General Hospital,positive
7073,I would recomened PAH to anyone when my son was born 6 weeks early due to pre eclempsia and hellp he could not of been in safer hands the nurses could not of treated me any better the neonatal unit my son stayed at for six weeks was clean the staff were caring and fantastic with baby and first time mum. 1 year later i was back at PAH due to a misscariage and again the staff were fantastic i'm sure they see this sort of thing every day but i felt like i mattered my needs were looked after mentally and physically at every vist with care and compasion.,Princess Anne Hospital,positive
11722,"no staff available to spend time with after coming in to  sit with my dead husband and collect his belongings.  after the initial shock when i requested to inspect my husbands notes they could not be found.  eleven months later, several letters, one from my m.p. they have been found.  and i`m still waiting for an appointment.   tell me now what i should like about treatment in your place.  and by the way i was also my husbands carer for tw years.",The Royal Liverpool University Hospital,negative
12113,"I had day surgery here recently and cannot praise them enough - the hospital was very clean , the doctors, staff and care all excellent.",Uckfield Hospital,positive
8263,scrap medical assesment unit my mother in law could have gone home and returned when a bed had been found.,Royal Blackburn Hospital,negative
9471,I attended as an outpatient and was seen early. I was treated as a person rather than as a patient. I felt valued.,Royal United Hospital,positive
9265,Excellent conditions and well trained staff.,Royal Preston Hospital,positive
4192,"I was admitted on 30th March to prepare for my elective c-section on 31st March.  Although normally patients are not admitted until the morning of the planned section due to my health issues and my concerns the team arranged for me to go in the afternoon previously which was a great help in preparing me.
During my whole pregnancy I was under the care of my surgeon and although I mostly saw members of their team during clinic visits they were present during my c-section and during my aftercare.  I have already sent them a personal message of thanks but also wanted to pass on my thanks to all the team of Labour Ward and Rowan Ward 2, this includes midwives, health care assistants and housekeeping. Everyone was so friendly and helpful during my extended stay and were very willing to assure me of any concerns I had.
I'd also like to praise two doctors from the Haematology team who were also a very important part of my care during my problematic pregnancy, I was never ""just a patient"".  I became well known in Pathology as well as by the people who work on the main Outpaitients reception who I always stop and have a chat with each time I'm passing.
I am still going to be a regular visitor to Kettering but I'm very happy with the ongoing care planned so far.
Thank you everybody",Kettering General Hospital,positive
10481,I was in hospital as a Stroke Patient - and I can reassure everyone that the team here were brilliant.  Its taken me a long time to get fully fit and I would like to thank St Helier very much for what they did for me then and continue do to now - Thank You One And All.  I am proof that strokes aren't always going to be a bad state of affairs.,St Helier Hospital,positive
10316,Everything,St Ann's Hospital,negative
5969,i was in i c u for three weeks all the staff who worked so hard to save my LIFE were really grate i cant thank them enoufgh . then i was transferd to stapels ward to recover for three weeks and again all the staff were grate nothing was to much for them to keep me happy and well And a very special thankyou to a senior care assistant who will be in my heart forever a big thankyou to you all A first class hospital with first class staff,North Devon District Hospital,positive
1260,"more information being given to the patient,i wasnt given any details of what was done in my procedure after the operation at all.",Burnley General Hospital,negative
460,"In March I reluctantly had to attend A&E and was surprised and impressed by the care and attention received.  The staff were very reassuring and attentative, which cannot be very easy with a full waiting room.  I feel that I could not have got better treatment anywhere.",Basildon University Hospital,positive
10871,"I was in ICU for twelve days and HDU for five after rolling a cement mixer. I had broken several ribs and a coller bone and punctured a lung. 
Firstly I would like to thank all the nurses that treated and looked after me, they were brilliant. I just hope they realise how important they are and what a very worthwhile job they do. 
Everyone who aproached my bed did so with a smile on there face which is very important in a time of stress.",St Richard's Hospital,positive
5557,"The attitude of the Triage Team Doctors and the Ward Nurses was disgusting, I wouldn’t talk about my worse enemy the way they spoke about my Partner when they thought they were out of ear shot. 

Also no one seems willing to listen, they see my Partners past medical history and instantly put it down to that, they can’t be bothered to see past that, it’s the easy option. Do the same tests, not try different ones that could show them the real cause! 

I’ve had all sorts of rows with them and it made me ill myself worrying about leaving my Partner every evening. 

Definitely going to drive to another hospital with an A&E department in future!",Medway Maritime Hospital,negative
2040,The very caring attitude and thoroughness of all staff from consultants to doctors nurses cleaning staff catering and porters,County Hospital Louth,positive
627,"I recently stayed in Berwick Infirmary for 12 days with my mum who was dying.  I have nothing but praise for the staff there.  They let me stay day and night for the 12 days until my mum passed away.  these girls are nothing short of angels.

They made my mums last days as comfortable for her as they possibly could and they were every bit as good with me.  There just aren't enough words to say how good these nurses are they all deserve medals for exceptional service and it is with all their patients, not just my mum.  They all deserve praise.",Berwick Infirmary,positive
12088,"Ithink more effort shoud be made to keep appointments on time,and not be told that things are a little behind time only to find this means 1& half hours behind time.or in one instance after booking in 10 min.before my appointment time and acctualy to be the first one in,I was told that everyone was booked in at the same time and they took people in as they wished and not in order of arrivel.people are not cattle",Trafford General Hospital,negative
12013,"The doctor and the nursing assistant and reception, thanks for a very professional service last Sunday when I attended with a chest infection",Tiverton and District Hospital,positive
12095,let patients know the selection process,Trafford General Hospital,negative
6541,"Had an oral op last week and was very happy with the whole experience, the staff were lovely and the nurses were wonderful. The food (even though i could barely eat it) was delicious. If needs must, i wouldnt go anywhere else. Thank you to all the staff and my Consultant, I look forward to seeing you tomorrow for my follow up appointment. xxxx","Nuffield Health, Ipswich Hospital",positive
3569,"Wonderfully competent, patient-centric, all the staff, medical or otherwise, I encountered were very fine ambassadors for their craft, the Hospital and the NHS generally. My need for emergency treatment was occasioned by a second heart attack 20 years after the first. Unquestionably the only good thing about that is  not only was my treatment at Harefield but will continue to be so.",Harefield Hospital,positive
3744,"Respecting patients time. I sat for an hour after my appointment time waiting to see the doctor. I had to give up to return to work without seeing her.The reason I was given for the delay is that &quot;the doctor is slow&quot; as an afterthought &quot;thorough&quot;. This doctor is given 10 minute appointments to work to and if more time is necessary for her to do a good then realistically more time should be allowed for each appointment. 

In addition the car parking is difficult I queued for 40 minutes to get in it would be useful to advise people to allow time for parking. 

All in all a waste of my valuable time and NHS valuable resources.",Hillingdon Hospital,negative
1129,the attitude of the staff and the educaiton of the staff regarding how to treat people who are already vulnerable,Broadgreen Hospital,negative
8700,"I thought the treatment and care i received at the royal free was exceptional. The staff were, without exception, lovely. They showed a great level of professionalism and pride in their work and made me feel incredibly well cared for.

Thank you to everyone at the Royal Free.",Royal Free Hospital,positive
9990,"My daughter was cared for on several occasions for cardiac surgery and the staff were absolutely brilliant.  She has been under the care of Southampton General Hospital for 8 years and has had 3 lots of heart surgery, plus the extra care on top of that (such as regular reviews).  I have total confidence in Southampton General and their abilities in caring for a young child.  I have never been made to feel as though we were time wasters, as a parent I have always been kept informed and treated with respect.  They are absolutely amazing and I can't imagine how our lives would be if they had not been there.",Southampton General Hospital,positive
12717,"Everything. 
The care my Dad is getting is NON-EXISTENT. 
 
He has not had a wash since he was admitted on Friday morning (29.1.10). He is such a clean man and likes to have a wash and the Nurses &quot;apparently&quot; asked him if he wanted a wash and (they said) he refused but we don't believe that for a second but even if he did refuse, they should still wash him. IT'S TOTAL NEGLECT. 
My Mum had to give him a wash herself, tonight (1.2.10) and when he brushed his teeth while sitting down in his wheelchair he spat out grey fluids. (DISGUSTING) He has not got any energy to manoeuvre himself and the Nurse's know this and yet they have been leaving him on his own while he has been on the toilet. Due to 
this, my Dad fell on Friday night and there were no Nurse's around to help him, as usual. 
 
He has bruises all over his wrist and arm and had blood in his fingernails. 
 
His T-Shirt has two times now had dry blood on it and it was left on him and so we, his family, had to change his pyjama top, underpants and pyjama bottoms. 
 
His bedding is soiled with urine because he cannot get to the toilet independently and also blood because they are not checking his dressings. 
 
Also when he was first admitted there, there was a former patients urine soaked underpants in his cabinet.",Warrington Hospital,negative
1625,The fact that the departments can not talk to each other and they don't tell anyone what is going on.  The fact that the left hand doesn't know what the right hand is doing just blows my mind away.  You would think that the departments would be able to work things out better.,Cheltenham General Hospital,negative
8945,The outstanding professionalism of the staff in the Treatment Centre Short Stay Unit. The cleanliness. The atmoshphere of calmness in what is an exceptionally busy unit and the involvement I was given to make informed decisions about my treatment and care.,Royal Hampshire County Hospital,positive
8034,i got refered by my gp i seen a doctor in out patiant. im in constent pain with my knees and find it hard to walk up stairs they said they was sending me for a scan 7 months on i havent harded anything,Rochdale Infirmary,negative
9557,"I was taken into Russells Hall Hospital in April 2009 after a serious fall at home. The A&E staff responded immediately and very thoroughly. Traction was applied to the wrist, and I was moved into X-Ray dept.
  In only a few minutes, the X-Ray staff attended me, and took the requisite X-Rays very promptly, and very considerately due to the intense pain i was suffering.
  Back to A&E, where the consultant advised me of the need for surgery on both injuries, including a hip replacement. Full and thorough discussion took place.
  I was then moved to WARD B2, where a bed had been prepared. THE STAFF IN THIS WARD WERE TRULY MAGNIFICENT - I really cannot praise them too much. From the Ward Manager, through all levels of nursing staff (even including the trainee and students), the were a really awesome team. Always attentive and responsive to my needs - always seper efficient - always enthusiastic and cheerful - they really made my stay quite memorable!
  The cleanliness of the Ward was fantastic. I made a point of watching the cleaner as she tackled the room - I was determined to find a small area she had missed - BUT I FAILED! She really did meet the standards of the rest of the team!
  Into surgery after a slight delay due to more serious cases being admitted for urgent surgery, where the anaesthetic and surgical teams were very helpfil, informative, and considerate. The operations were successfully completed.
  Post surgery, the Physiotherapy, and Occupational therapy teams soon got me on my feet, able to carry out washing and dressing tasks, teaching me to walk again, and determining my personal and domestin needs for my discharge from the Hospital. All staff were again truly superb, and I give profound thanks to EVERYONE associated wih my admission, treatment, and discharge.
  I do however, regrettably have to end a glowing report on the Hospital, with one criticism; YES,  the car-parking is so difficult!! Never mind, itb is worth the hassle when you get in.",Russells Hall Hospital,positive
6454,"On my last night i was transferred to Gillies ward and what can i say it was disgracefull compared to the previous 2 wards.I was left in a side room all on my own,my 4 hrly obs were not completed once.No one came to me except when i was crying and i slept in my clothes!!no one even asked if i had nightwear.I could not wait to get out of that ward,dont the staff care??!!!!disgraceful all of them except the sister wo was nice",Nottingham University Hospitals NHS Trust - City Campus,positive
6510,After being turned away from the walk in centre and being told to take paracetamol an hour before I was in to much agony that I went to A&amp;E the attention and care was amazing. I was seen almost straight away given painrelief and treated brilliantly.I have had a problem for years but have constantly being dismissed by my GP and QMC finally gave me x-rays and actual treatment and now they have refered me to a specialist. The system at A&amp;E compared to my home hospital is superb.,Nottingham University Hospitals NHS Trust - Queen's Medical Centre Campus,positive
11458,if you must have a heart attack i couild suggest nowhere better to recieve treatment,The Heart Hospital,positive
1491,"I had an operation in the Riverside Wing carried out by a surgeon from the Urology Department. It started very early in the morning and, although it was a lengthy and difficult procedure, I had recovered sufficiently to be allowed home early the same evening.My wife collected me and I was pleased to be sleeping in my own bed that night. This was the result of really good organisation by the hospital. It is more efficient for the Health Service and better for the patient to get on with the recovery process. I can recommend it. All of those involved, surgeon, anaesthetist and nurses talked to me before and after the operation to reassure me and themselves that the procedure would have a good outcome. That is exactly what has happened.",Charing Cross Hospital,positive
2904,Communication between doctors and nurses could be improved vastly.,Frenchay Hospital,negative
7812,"The hospital was spotlessly clean, and the staff were lovely.",Queen Victoria Hospital (East Grinstead),positive
437,"The staff in maternity were both knowledgable and caring. They made me feel instantly at ease and comfortable. I was amazed at how many health professionals i saw during my stay and how they were all organised to come at different times - very well organised!
The hospital was also exceptionally clean and well maintained",Barnsley Hospital,positive
5885,"Thank-you to all the staff involved in seeing my son on Sunday 18/01/09. 
I found you all most polite, cheerful, helpful and human ( i.e. not treated as a number) and also very professional.",Norfolk and Norwich University Hospital,positive
10350,"Everything! Don't ignore people when they need urgent help! My kids have been taken away due to their incompetence of missing BPD, PTSD and psychosis and not helping me. Years later i am still really ill, and despite many emergency admissions to a+e, i never even get treatment i needed!! Hurry up and move it over to heath rd as i was expected to make my own way from there many times to st clements!!",St Clements Hospital,negative
1104,I went to the hospital for an foot inflammatory injury. I was treated so well. Starting from the Reception to the Doctors everyone was so much helpful. It was 3 a.m in the night but I could not find any indiscripancy in the environment. The hospital was clean enough and I was treated within 20 minutes after reaching there. The Doctor listened to my every word and he was so polite that I felt half of my pain already gone. I would definitely recommend it.,Bristol Royal Infirmary,positive
13746,Patient was my mother. She choked on it. Hospital helped her get back to health. Thank you to everyone who helped us in these difficult times. My mother flew to me from Poland. Your very attentive care have made us a very good impression. Thank you!,York Hospital,positive
10775,My son was treated on Grand Union ward for a serious blood infection and his care was without exception absoltuely brilliant and amazing.  I cannot thank this hospital and all its staff (from the nurses to the consultants) for the way we were treated and for saving my son's life.,St Mary's Hospital (HQ),positive
1048,"From a mums point of view i was very happy to leave my son in the staff nurse's care, but all the staff shown execeptional service and care",Bridgewater Hospital,positive
2325,"The Devizes Treatment Centre has a calm reassuring atmosphere. 

Everyone was helpful and friendly from the minute I arrived until I left. 

Before my treatment began everything was explained fully to me so that I understood the procedure I was to undergo.  

If I was unsure of anything I had the opportunity and I felt able to ask questions at any time.   

During my treatment at the centre I was looked after by professional caring staff who all ensured I was safe, comfortable and happy while I was there.  I ws treated with dignity and respect.

I cannot speak highly enough of the staff and the first class treatment I received at the centre.

I would recommend the centre without hesitation. 

Thank you.",Devizes NHS Treatment Centre,positive
6529,The nurses of the minor injuries department are excellent!  The team have been providing me treatment for my burns for the last 2 weeks and i am very pleased with the service.  I never have to wait very long to be seen to at the drop in centre and feel i am receiving excellent medical care day in day out.,Nuffield Diagnostic Centre,positive
2704,"was the committed and dedicated care and attention, at all times, of the consultant, nursing, auxillary, physiotherapy and catering staff.  I can highly recommend this hospital to anyone considering surgery.",Euxton Hall Hospital,positive
3311,"I was referred by my GP to the rapid chest pain clinic as he believed (correctly) that I had angina. I was very impressed with the efficient way the various tests were rried out and particularly appreciated the way the nurse specialist co-ordinated what I was doing and explained all the stages to me. They also then showed the results to the consultant and explained that I would have a difficulty in getting to Cheltenham for the recommended angiagram, not having anyone locally able to help me with transport and aftercare. They immediately agreed to refer me to the Heart Hospital in London (part of the UCH group where I have received teatment for cancer, and very close to where my immediate family live). I have since had follow-up care with the cardiac rehab team - the advice, courses and exercise sessions they run are excellent; the professional involved are helpful, reassuring, and easy to talk with when needing advice; the admin systems seem very efficient and all the writing joined-up, with good communications back to my GP. The NHS at its best! Am very grateful and consider myself lucky to receive such first rate care.",Gloucestershire Royal Hospital,positive
11615,There was a thoroughly professional approach throughout and I was always involved with any decisions.,The Midland Eye Institute,positive
8660,"The short time the operation was performed after diagnosis of a detached retina considering the infirmary is so busy.

The friendliness and professional way the ophthalmologists and staff performed their duties.

The post-op. examinations after discharge to ensure rectification.",Royal Eye Infirmary,positive
8647,Booking of and keeping appointments.  I have glaucoma and need to see the specialist regularly.  An appointment was cancelled and promised me new one within few weeks.  Two years later I was still waiting and my optician was very concerned.,Royal Eye Infirmary,negative
13083,"I've had my first treatment of three treatments and I can't praise the whole team of Doctors, Nurses and the complete staff enough.",Weston Park Hospital,positive
8393,"my experience on a ward as left me wondering what to do if i needed to call an ambulence and be admitted as a patient .I was discharged on the 18th oct ,i made complaints to the management and also pals about the way i was treated,i had to ask repeatedly for my medication,there were dirty bedpans left uncovered in the toilet,i am a celiac and from friday til monday the food i was offered was pathetic, i got at meal time one peice of chicken on a plate,the following day i got one jacket potato and for evening meal i got 1 peice of chicken and 1 potatoe,i was reduced to tears by staff on several occasions,i feel very unwell at the moment but wil not phone ambulance to cum bac to that hospital",Royal Bolton Hospital,negative
8339,My daughter broke her hand and had to visit the accident and emergency department on Wednesday 21st July. We arrived at approximately 8.45pm and told the wait would be approx an hour and a half. OK we thought and took a seat in a very busy department. We saw the triage nurse about half an hour later who was very nice and courteous and gave my daughter pain killers and then we had to wait again. Nearly 3 hours later we saw a doctor who was really kind and considerate and treated my daughter with total respect. He sent her for an X-Ray and then he would have a better picture of what she had done. Once she had her x-Ray we waited another hour and then they explained she had broke a bone in her hand and need to see a specialist who was on his way. This doctor who again was polite and courteos explained exactly what the injury was and that she would need a pot on her hand and would then need to see a consultant. During this perod my daughter fainted and needed to go oxygen and the nurse was really thoughtful and caring to my daughters needs. The same nurse half an hour later put the pot on as gently as she could. I therefore have no complaints about her treatment only abut the amount of time it took and this is mainly down to the public itself wasting valuable time by going to casualty for ailments that can be treated by their GP.,Royal Blackburn Hospital,negative
606,"I have just completed a course at the “Bedford Hospital Cardiac Recovery Programme”, better known as the “Bedford Heart Beat”.  This followed a successful aortic valve replacement carried out at Papworth Hospital in February.  I have nothing but praise for all aspects of the medical treatment I received, but wanted to express my sincere thanks and gratitude to the host and their dedicated team at the BHB.  The series of planned exercises, in the “Cardiac Circus” and all the useful following talks provided an excellent environment in which one could come to terms with the aftermath of major surgery.  A feeling of well being was, in my view, one of the main benefits.  This was not just a physical phenomena, but mental as well.  Being with others who had gone through similar traumas instilled confidence in ones ability to test out the capability of ones heart.  Also, the range of people who came, and very few dropped out, showed that the course was well designed to help all types of need.

I am well aware that the NHS is very much in the news, and with this new government we must wait to see what “efficiency” savings are demanded.  I would put the BHB into a safety net, under the sign “Do not tamper with” as, to me it is a natural follow on to the more specific “medical” treatments for cardiac patients.  Whilst it obviously has a cost implication, the fact that it is still going strong after fifteen years surely shows its value.

Therefore I request most strongly that when you and your team are faced with difficult decisions about the finance of Bedford Hospital, you see BHB as one of the best “value for money” and a natural addition to the Cardiac department.",Bedford Hospital South Wing,positive
4582,"was treated so well by all staff,from surgeon,anetheatist and nurses,porters and cleaners too thankyou",Leicester General Hospital,positive
3549,"I have had surgery cancelled 3 or 4 times due to a lack of beds(Staff), the trouble is you don't find this out untill the day you are due to go into hospital, this can be very upsetting.",Harefield Hospital,negative
2542,everything above expectations,Eastbourne District General Hospital,negative
9278,"Our father, spent his last days at the Royal Preston Hospital and we would like to record our view that the staff at the hospital were absolutely brilliant - caring, compassionate, helpful, informative etc - all the qualities you hope for in such stressful circumstances. He spent time in Wards 10 & 15 and staff here deserve particular praise. 
The wards were very clean and all staff industrious in their activities.",Royal Preston Hospital,positive
5682,"the hospital is the best i have been in with all my illness ,the staff are great the food is excellent and all the medical staff can not do enough to help the paitent and familys
this is a great hospital",Musgrove Park Hospital,positive
13531,"TV,s on wheels, a certain time for the night lights to go out. When the dinner ladies came too us most times there were no potatoes and you had to have what was left.  Needed proper menu,s so that you could choose the day before/early morning. It would be nice to have a mid-morning cuppa and a mid afternoon one.",Wrightington Hospital,negative
4890,"was the complete advice as to what was going to be done and being kept informed and cared for. The staff and doctors were very helpful and I still attend hospital for check ups and the staff and doctors continue with their care for me. I trust them completely. If I have a query about anything, I know I can ask and it will be explained fully, as a result I a feel confident in the treatments I receive from them.",Lister Hospital,positive
5578,"To begin with my mother was admitted and we eventually found out she had terminal pancreatic cancer. The doctors informed us before we even found this out that she needed a stent to open the bottom of her stomach as the tumor had crushed it and she couldnt eat. this took them nearly 3 weeks to do and she died a few days later as by that time she was too weak to eat even if she had wanted to.

the staff were rude to her and one nurse in particular was extremely unproffesional, even making my mother cry at one point as the nurse shouted at her. my mother was 46 years old.

Following this, i started having severe abdominal pains when i ate. i went to a&e and due to what happened with my mother they rushed me through to see a ""doctor"" who didnt even examine me, discharging me with a water infection (even though the previous urine sample i gave had no trace of this)

my father demanded a second opinion as i was laying on the bed in agony. a second doctor examined me, gave me painkillers and admitted me straight away.
i got sent to the same ward as my mother was on just a few weeks before and not one of the staff looked at the records to see that my mother had passed away, therefore i had a at least one nurse every day asking how my mother was.
i was kept doped up oj whatever painkillers they could give me all day, leaving me alone just long enough that i was coherent when i had visitors, once they left it was more drugs. at one stage i rang the buzzer and it was still going over an hour later as noone had come to see me. i was told i needed to be put on a drip and that never happened. 
and i was told it was all phsycological, however when i went to my own gp after a week in hospital i was told it was stress related IBS after what had happened to my mum and have since been treated for it.",Milton Keynes Hospital,negative
5778,Every member of staff was very professional.  There was never a feeling of anything being too much trouble.  The areas were clean and in a good state of repair.  Would not hesitate to use this hospital again.,Newark Hospital,positive
13749,"I was very lucky and during my stay I was placed in a single room -I don't know why, but the larger wards were all full. At one stage I was on a ward with 3 other (elderly) ladies one of whom was a serial complainer - I think from visits to other people in hospital that this is not uncommon.  The problem was that the staff (who were well aware that she was a 'pain') could not address her behaviour - as professionals they looked after her the same as everyone else, but I did feel that her behaviour should have been adressed.  Not to do so is unfair on the other occupants of the ward who had to endure her constant groans and complaints.  They were poorly too and having a whiney neighbour was the last thing they needed.  I was very lucky to be transferred out again later on and so didn't have to put up with her for too long, had I had to I think that I would have spoken to her myself.  Alternatively put all the wingers together so they can inflict their miseries upon each other and leave the rest to have as peaceful a stay as is possible.",York Hospital,positive
12489,"i was disgusted with practices that i seen whilst  visiting a service user of mine in the Majors Department, i witnessed a cleaner putting a mop into a handwashing sink wetting the mop under the tap to clean the floor, also the toilet according to the sheet on the wall hadnt been cleaned for 4 days - the toilet bowl was covered in feaces there was dried urine stains on the floor and the extractor fan was thick with dust, it makes you wonder why our hospital has so many infections ?",University Hospital Of North Staffordshire,negative
12960,The A&amp;E department was very efficient and i was seen very promptly. I had an Xray on my leg and was home within 1 hour! All of the staff were very friendly and ensured my needs were met.,West Middlesex University Hospital,positive
1112,"All the people treating me were very friendly. The nurse in A&E consulted doctors when protocol suggested that they leave my wound to scar, they genuinely cared about my wellbeing and I had perfect treatment with no problems. I barely had to wait at all between having an x-ray and getting a cast. They arranged my follow-up x-ray over the phone for me. Very good.",Bristol Royal Infirmary,positive
6354,"On Saturday last one of my departmental employees had a heart attack and ended up in the NG Coronary Care unit. As his manager I felt obliged to attend and see how he was doing. The time I picked was the busiest visiting time and I knew I was going to have difficulty parking. 
I do not remember the car park letter / number but as I approached it a security person (?) was directing traffic because it was full. As cars were leaving they were allowing vehicles in on a one-for-one basis and this meant a short queue. They beckoned me towards the car park and I waited. While waiting I checked for change to Pay and Display. To my annoyance I was a whole '10p' short. As a result I started to reverse off the car park entrance. The security person asked me what I was doing and I told them my 'small' problem. They told me to not worry about it and stay where I was. They directed another car away from the car park and returned to me and gave me '20p'. I thanked them very much and they joked about wanting my name and address. We laughed and I went about my business. This may not seem much but had they just ushered me away I would have had to leave the hospital grounds and had a long walk back. Thanks to them I parked, paid and visited my work colleague. My colleague was thrilled to see me and I told him the story and this made him laugh. This little gesture made my day. On returning to my car the security person had gone as the traffic had eased and therefore I was not able to thank them again. 
If you find out who this person was can you give them a pat on the back. Some faith has been restored in human beings!!",Northern General Hospital,positive
2103,"I had a very distressing experience with the chaotic car park facilities and the car park staff were very rude and hostile. I think it is wrong that the car park is run by a private company and that there are no penalty clauses in theor contract. I also think it is wrong that anybody, whether visitor or staff should have to pay for car parking at the hospital; there is ample room.  I don't believe that the car park staff should provide security service, either.  The whole car park/security situation should be examined on a proper cost/benefit basis and new arrangements made that will either benefit the hospital (and not the private sector) or make car parking free for all ~ this will help recruitment and retention of staff and make visiting/attending the hospital a better experience.",Darent Valley Hospital,negative
5965,"I hardly had to wait at all for my appointments.  I was sent in for Cardiologist / Echo cardiogram / Breathing tests / exercise test / chest x-ray / fitting of 24 hour monitor and others (not sure what else) and revisit Cardiologist once results were back. Everything went smoothly and all completed within 4 hours, which included a half hour for lunch.",North Devon District Hospital,positive
2157,"Once my son was finally seen the nurse practioner was good, caring and explained things clearly.",Darent Valley Hospital,positive
5562,I had a minor op under general anesthetic. This is the nicest hospital I have attended with the best staff ever I thank them again for their pleasant attitude. They should be proud!,Melton Mowbray Hospital,positive
12190,"I don't Think that I could fault anything or anybody at this wonderful hospital. I recieved virtualy, one to one nursing whilst in there, except my final day. I have since recommended this hospital to friends I know with the same problems as me (cardio vascular) as in no way can I say any thing wrong with the hospital. I would like to thank all the staff, Doctors, Nurses and everyone for the wonderful care I recieved",University Hospital (Coventry),positive
1107,why can i not phone the hospital?  no one answers and it just rings out.  i have taken the number from the phone book and from this site so have definitely got the right one.  how can i have faith in a hospital that doesn`t answer its phone?  and how can i proceed with my treatment when i can`t get the answer to a vital question?,Bristol Royal Infirmary,negative
13286,"as we all know people moan hoping that they will get something for nothing, as we all know parking is a issue.
haveing attended the ct/mri department last night at 1900 hrs the sevice and staff were a credit to the hospitail.
please pass on to the nurse's involved.
colin pull",William Harvey Hospital (Ashford),positive
13156,"I had an ultrasound and at a second visit a colonoscopy. On both occasions I was treated with dignity and in a professional manner.
I cannot fault the treatment I received.",Wharfedale Hospital,positive
379,"Several years ago I was diagnosed with Rheumatoid Arthritis and referred to Barnet Hospital and the doctor. I had very limited mobility, lots of pain and very swollen joints. The doctor tried many drugs, combinations of drugs over several years to find the combination that reduced the swelling and eliminated most of the pain. My mobility and wellbeing returned and enabled me to invest my capital in a new venture, which provides employment for five technicians and the monthly inland revenue payment, helps reimburse the health service for investing in me. Long live the NHS.",Barnet Hospital,positive
2544,Floors could have been cleaned a bit more regularly. Extra night staff would help.,Eastbourne District General Hospital,negative
