,comment,Org Name,Department,month,year,predicted_sentiment
74,"My GP's phoned me to see how I was. Told I was still feeling numbness in my right arm. He sent me to A/E/Neurology at the QE Birmingham. I reached there in the late afternoon and after an hour or so I eventually saw a doctor who tested me and said they were going to talk to the consultants.  
I eventually saw them around six hours later. They gave me a painkiller discharged me telling me that they would send the prescription to the GP and I would be seeing a spinal surgeon. That was a number of days ago.  
My GP hasn't received the prescription and the discharge letter and when I've tried to call the department the contact centre hasn't heard of the dept. So I still have no use of my arm and no painkillers and I'll be damned if I go back.",RRK15,,December,2022,negative
75,"Just had the unfortunate experience of waiting for nearly 12 hours in A and E at Good Hope, Sutton Coldfield. Literally no doctors available, being pushed from one room to another being fobbed off by giving stupid reasons for waiting and asked to wait another 2 hours in a room with no chairs to sit on. Some staff (not all) are rude, patronising and treat their patients with contempt. Others are apologetic and try their best to do their job in a broken churn of people who need to see a doctor. When will someone finally say the nhs is not fit for purpose? That time has surely come. The United Kingdom is now worse than a Third world country and has a nhs pushed beyond breaking point. It no longer works. ",RRK98,Accident and emergency services,November,2022,positive
76,Can't fault the hospital. Excellent care provided throughout and post pregnancy. All members of staff friendly and extremely helpful. ,RBT20,Maternity services,August,2022,negative
77,"I arrived for my appointment today and was greeted by a friendly receptionist. Then I was called in for my appointment with the Dr in dermatology who was exceptional very good check up, always polite and professional. The dermatology team were wonderful. ",RK5HP,Dermatology,November,2022,positive
78,"I have accompanied my mother for three appointments with the Neurosurgery team in Preston. Without exception, every member of the team has been fantastic. They are all polite, provide clear explanations and have a good sense of humour when it was appropriate for the situation. Thank you for looking after my mother through a difficult time which really helped put her at ease. ",RXN02,Neurosurgery,September,2022,positive
79,I attended the Endoscopy Unit to undergo two procedures and found all of the staff that dealt with me to be the friendliest and most caring people you could hope to meet. It's a shame that it's not possible here to give a shout out to particular people but suffice to say they were able to make my short stay a positive experience from initial admittance to being discharged. I only wish all health services could be this good.,R1ARE,Gastrointestinal and Liver services,November,2022,positive
80,"Never seen such a clean hospital and the service from arriving to leaving was absolutely fantastic. From receptionist to nurse, consultant   X-ray department doctors nurses  just amazing service 
Thank you ",RTFED,Breast Surgery,November,2022,positive
81,"I received first class care and attention from team members of the Surgical Day Unit, Urology and the nurses in the post operative care ward. All were extremely attentive, excellent communicators, friendly and professional. They have all my gratitude.",RA901,Don't know,September,2022,positive
82,"I had to come to Dorchester a&e twice in the space of a few days after being referred by 111. I was triaged in perfectly reasonable time and before I knew it I was sat comfortable in the P section of the recently refurbished a&e. The team was very thorough and did not rush anything. I was in a&e for several hours and all the staff I met in that time were very friendly, which is even more helpful when I feel anxious in medical environments. I just wished I could remember the names of the team who helped me. ",RBD01,Accident and emergency services,September,2022,positive
83,"The care I received at Cannock Hospital was excellent the nurses and Doctors really looked after with such care and attention.  
[Very happy with 'Nurses']  
[Very happy with 'Treatment']  
[Very happy with 'Team work']  
[Very happy with 'Cleanliness']  
[Very happy with 'Staff skills']  
[Very happy with 'Staff attitude']  
[Very happy with 'Care staff']  
[Very happy with 'Privacy']  
[Happy with 'Food']  
[Unsure about 'Heating']  
[Very happy with 'Doctor']",RL4TC,,October,2022,positive
84,"Couldn’t fault this practice from start to finish , absolutely brilliant service , very friendly staff and very helpful ",NPG09,Cataract Surgery,September,2022,positive
85,I have had cause to be provided with surgery and care at The Oaks twice in the last two years. The care was just wonderful from start to finish. A kind and professional team that were friendly and attentive. I would elect to go there again if ever I needed to. They were amazing. Thank you,NVC13,Gynaecology,September,2022,positive
86,"I was accompanying my elderly father-in-law to an ophthalmology appointment relating to his ongoing Giant Cell Arteritis. He is notoriously poor as a historian, at remembering medical details and even answering basic yet sometimes important questions accurately. As such he is always extremely reassured when I accompany him to his many hospital appointments, even to the extent of rearranging them if I am not available. He always wants me to be with him even for the most minor of consultations. I think my 40 year nursing career, mostly critical care - much as a senior nurse/manager - gives him a great sense of reassurance.  
Prior to him being seen by the ophthalmologist he was given a sight test. I was asked to wait outside so I explained he would prefer me to be present. I was admitted but throughout the test there was a low, but very badly disguised, level of hostility to my presence.  
Having been a health care practitioner for so long myself, I can understand that it can sometimes be annoying to be challenged, even politely, and my request may have seemed unnecessary, but I do not think this warrants making me feel extremely uncomfortable. I was acting not to interfere or get in the way, but because it was what the patient wanted, and also to ensure that any questions relating to his long and complex history had the correct interpretation and response.  
Both of these motives were in the interest of enhancing his care, something everyone is surely behind. I understand this is relatively unimportant in the scheme of things, but the small things are really important and cost nothing in time or resources. I do wonder: had I been wearing a Critical Care Manager badge, would I have been made to feel the same way?  
I have to add this has been an isolated incident and generally the staff at SHH have been very accommodating to my father-in-law’s needs",RWJ09,,October,2022,positive
87,"We booked an appointment through 111 and we were assured that a Doctor is going to see my partner between 3 and 4 am at the emergency unit. I was driving 30 minutes just to get there in the middle of the night from a different city. When we arrived we were asked to fill in a form because the receptionist claimed the book by appointment button does not work on their iPad app, which in hindsight was suspicious.
Then came the surprise as we were told that  we need to wait an additional 7 hours to be seen, which is exactly what we wanted to avoid otherwise neither my partner nor me could not even go to work the next day. The receptionist had the nerve to say that both of us misunderstood what what 111 said, when we confirmed 5 times with 111 that a doctor is going to check my partner between 3 am and 4 am. Then the receptionist even started moralising if we not read the news, that 7 hours is the wait time in every hospital. Checked,
less than 4 hours admittance percentage for this trust is 57.2% in England it’s 71.1%. As if their job is to scare people away. Well done on that front. I’m speechless how they can operate like this.",RYR16,Accident and emergency services,October,2022,negative
88,"We arrive at the hospital at 8:10pm, there was no reception staff to manage the entrance, so we queued to go to urgent care services, only after 45mins of queuing, suddenly a nurse and security appeared and asked all people in the queue to move back to reception to register to be seen. As this caused chaos, people lost their place to be seen, as other people pushed in. This made our wait in a&e longer. I was there with my 5 year old child who was the patient. The staff at reception and security had no idea what they were doing. Why was the desk to receive people into urgent care left unattended for 45mins to only cause extra delays!

Some needs to ensure that staff are scheduled properly to cover breaks too.

Once in the initial nurse was ok. The initial assessment room was good, the nurse there helped us a few times change my daughters bleeding thumb dressing from 9pm to midnight. This thumb has been bleeding from 7pm.

The doctor who saw us was amazing.",RF4DG,Accident and emergency services,September,2022,positive
89,"I attended Ophthalmology for a glaucoma test, and was dealt with very quickly, but efficiently.
All the staff were friendly and helpful, which made the experience enjoyable.
Everything was explained clearly at each stage, which included three tests, with plenty of opportunity to ask questions.
Very pleased with the way the whole process was handled.",RWEAA,Ophthalmology,September,2022,positive
90,"I attended the clinic with my elderly father who is not used to attending hospital as a patient (former healthcare worker). He felt very anxious about his visit. We were greeted by lovely staff who were friendly kind and compassionate. He soon felt relaxed and less anxious. The waiting area was comfortable and had a nice ambiance. The whole journey through his visit was very quick and efficient.  
Thank you to all at this lovely clinic.",RCBL8,,August,2022,positive
91,Over 4 hours waiting. Teen child seen in 'rapid' assessment while parent waits outside. No updates given. No water cooler or vending machine available. Staff largely ignore you. Not enough security around. ,RAL26,Accident and emergency services,August,2022,positive
92,"Been happy with my treatment til yesterday, went for appointment with urology consultant ( drove 80 mile round trip)  needed to ask a few important questions about my recent operation etc. The consultant didnt even know the date i had, had it done, did not listen to my concerns, generally just hurried me up. I didnt think the man was fully qualified to be honest.He was more concerned about the other 5 patients he still had to see. St helens is a very good, clean hospital and all the nurses etc are really great and i would recomend it to anybody but really annoyed with the treatment i had yesterday.",RBN02,Urology,July,2022,negative
93,"The Fern Centre has provided a complementary 'point of contact' in addition to my CNS clinical 'point of contact'. The actual session offer the patient something to 'look forward to', something 'nice' to focus on.  I found the reflexology very relaxing. it helped clear my mind and slow down.",RH880,,July,2022,positive
94,"Had day knee arthroscopy surgery at the Spire. Brought straight through to ward even though arrived an hour early. Welcomed straight away by nurses who were very attentive and individual introduced to various personal even prior to surgery including doctor, anaesthetist and physio. Superb set up and would highly recommend.",NT337,Orthopaedics,July,2022,positive
95,I had an appointment with the Rheumatology Dept for last Friday. Unfortunately it was cancelled due to Staff illness which is not a problem. However I have been trying to contact the Dept on and off during the day both by phone and email. All of my phone calls have resulted in me being on hold for over an hour with no human contact. My email has not been replied to. Why publish a telephone number on my appointment letter if it is not manned during the day ?,RJ611,Rheumatology,July,2022,negative
96,"Visited Orsett Minor Injuries Unit today.  Following an incident whilst moving a wardrobe my husbands wrist and fingers became very sensitive to touch and very swollen caysing restricted use.  We went along to the MIU to get it checked out.  From checking in with the very helpful and polite receptionist, seeing the doctor, having an X-ray taken and back to the doctor with X-ray results all in around 2 hours. All the professionals we encountered were an absolute credit to the NHS - thank you for providing a great service and thankfully no wrist break. ",RATPH,Urgent care centre,June,2022,positive
97,"I am trying to contact the Radiology department to discuss obtaining a copy of scans taken during an emergency attendance at the hospital. There is no number for the radiology department on the website; the number for each department in Radiology is the main switchboard with the extension; the message on the answering system for the switchboard says to go to the website for direct dial numbers - there are none. There is also no facility to dial an extension directly so you just have to wait for an operator. 
I think this could definitely be improved and would pout less pressure on the operators as callers could actually dial extensions directly. 
",RPA02,Don't know,June,2022,positive
98,"We were absolutely amazed at the service we received from the staff as each and every one of them was absolutely blinding and from the volenteers at the entrance to all the nursing staff rhey treated us with professionalism and kindness.We could not fault any of them.
They are a credit to our National Health Service. It also goes without saying that the Doctor/Sergeon we saw was also perfect.
Our kindest and best regards.
yours most sincerely
Eileen & John Coble",RAN01,Orthopaedics,May,2022,positive
99,"When I was visiting an immediate family member at Blackthorn ward, I was on the receiving end of rude and unhelpful staff. When I spoke to a nurse he was aggressive in his tone and incapable of addressing my concerns. The doctor left before the time I was told he was leaving so I was unable to meet him there for unable to get an update on the patient.  In addition the head nurse was very dismissive and unwilling to help when I went to speak to her, she huffed and puffed when I asked a question about the patients medication. The staff are also unable to confirm what medication was given to the patient at a specific time and are unwilling to listen to our concerns. Overall, I’ve had a very bad experience with the team, they have poor communication and are unwilling to help when clearly family members are distressed and need reassurance that the patient is being taken care of to a good standard. Would not recommend to family and friends ",R1HKH,Geriatric Medicine,May,2022,negative
